VEIC,LAT,LON,DTHR,COD_LINHA,LAT.LON
AA005,"-25,398433","-49,211905",20/10/2015 18:53:17,812,"-25.398433"
AA005,"-25,398546","-49,211925",20/10/2015 18:43:16,812,"-25.398546"
AA005,"-25,398448","-49,21203",20/10/2015 18:33:15,812,"-25.398448"
AA005,"-25,398323","-49,212036",20/10/2015 18:23:14,812,"-25.398323"
AA005,"-25,398595","-49,21202",20/10/2015 18:16:46,812,"-25.398595"
AA005,"-25,398325","-49,211991",20/10/2015 18:11:12,812,"-25.398325"
AA005,"-25,398426","-49,212041",20/10/2015 18:01:11,812,"-25.398426"
AA005,"-25,398416","-49,21201",20/10/2015 17:51:10,812,"-25.398416"
AA005,"-25,398405","-49,211986",20/10/2015 17:41:09,812,"-25.398405"
AA005,"-25,398416","-49,212013",20/10/2015 17:31:08,812,"-25.398416"
AA005,"-25,398566","-49,211908",20/10/2015 17:27:14,812,"-25.398566"
AA005,"-25,398833","-49,211995",20/10/2015 17:27:03,812,"-25.398833"
AA005,"-25,399021","-49,212245",20/10/2015 17:26:52,812,"-25.399021"
AA005,"-25,39901","-49,212556",20/10/2015 17:26:43,812,"-25.39901"
AA005,"-25,39877","-49,212725",20/10/2015 17:22:12,812,"-25.39877"
AA005,"-25,398505","-49,212666",20/10/2015 17:19:38,812,"-25.398505"
AA005,"-25,398743","-49,212503",20/10/2015 17:19:05,812,"-25.398743"
AA005,"-25,398571","-49,212733",20/10/2015 17:17:17,812,"-25.398571"
AA005,"-25,39884","-49,2127",20/10/2015 17:11:45,812,"-25.39884"
AA005,"-25,399045","-49,212913",20/10/2015 17:09:50,812,"-25.399045"
AA005,"-25,398806","-49,213056",20/10/2015 17:06:37,812,"-25.398806"
AA005,"-25,398601","-49,213053",20/10/2015 17:06:17,812,"-25.398601"
AA005,"-25,398776","-49,21279",20/10/2015 17:06:09,812,"-25.398776"
AA005,"-25,399008","-49,21256",20/10/2015 17:06:03,812,"-25.399008"
AA005,"-25,399053","-49,212261",20/10/2015 17:05:57,812,"-25.399053"
AA005,"-25,398781","-49,21218",20/10/2015 17:05:44,812,"-25.398781"
AA005,"-25,398491","-49,212215",20/10/2015 17:05:35,812,"-25.398491"
AA005,"-25,398368","-49,212056",20/10/2015 17:04:40,812,"-25.398368"
AA005,"-25,398376","-49,212058",20/10/2015 16:54:39,812,"-25.398376"
AA005,"-25,39843","-49,21208",20/10/2015 16:44:38,812,"-25.39843"
AA005,"-25,398385","-49,212101",20/10/2015 16:34:37,812,"-25.398385"
AA005,"-25,398398","-49,212085",20/10/2015 16:24:36,812,"-25.398398"
AA005,"-25,398388","-49,212108",20/10/2015 16:14:35,812,"-25.398388"
AA005,"-25,398303","-49,212148",20/10/2015 16:04:34,812,"-25.398303"
AA005,"-25,39803","-49,21218",20/10/2015 16:03:22,812,"-25.39803"
AA005,"-25,398295","-49,212101",20/10/2015 16:01:11,812,"-25.398295"
AA005,"-25,407501","-49,218888",20/10/2015 08:39:56,812,"-25.407501"
AA005,"-25,408313","-49,219223",20/10/2015 08:38:55,812,"-25.408313"
AA005,"-25,408466","-49,219288",20/10/2015 08:38:52,812,"-25.408466"
AA005,"-25,411121","-49,220478",20/10/2015 08:38:28,812,"-25.411121"
AA005,"-25,413006","-49,221373",20/10/2015 08:38:08,812,"-25.413006"
AA005,"-25,413278","-49,221505",20/10/2015 08:38:04,812,"-25.413278"
AA005,"-25,413555","-49,22144",20/10/2015 08:37:57,812,"-25.413555"
AA005,"-25,413495","-49,221131",20/10/2015 08:37:52,812,"-25.413495"
AA005,"-25,413233","-49,221046",20/10/2015 08:37:46,812,"-25.413233"
AA005,"-25,4122","-49,221528",20/10/2015 08:37:36,812,"-25.4122"
AA005,"-25,4104","-49,222443",20/10/2015 08:37:13,812,"-25.4104"
AA005,"-25,410088","-49,222596",20/10/2015 08:37:08,812,"-25.410088"
AA005,"-25,409843","-49,222761",20/10/2015 08:35:51,812,"-25.409843"
AA005,"-25,409451","-49,222805",20/10/2015 08:35:44,812,"-25.409451"
AA005,"-25,409168","-49,222823",20/10/2015 08:35:40,812,"-25.409168"
AA005,"-25,40914","-49,222041",20/10/2015 08:35:30,812,"-25.40914"
AA005,"-25,409193","-49,221705",20/10/2015 08:35:25,812,"-25.409193"
AA005,"-25,409103","-49,22141",20/10/2015 08:35:16,812,"-25.409103"
AA005,"-25,408806","-49,22137",20/10/2015 08:34:28,812,"-25.408806"
AA005,"-25,408695","-49,221375",20/10/2015 08:34:25,812,"-25.408695"
AA005,"-25,405993","-49,221361",20/10/2015 08:34:01,812,"-25.405993"
AA005,"-25,405668","-49,221368",20/10/2015 08:33:58,812,"-25.405668"
AA005,"-25,40536","-49,221325",20/10/2015 08:33:55,812,"-25.40536"
AA005,"-25,405063","-49,22118",20/10/2015 08:33:52,812,"-25.405063"
AA005,"-25,404493","-49,22031",20/10/2015 08:33:44,812,"-25.404493"
AA005,"-25,404361","-49,220045",20/10/2015 08:33:42,812,"-25.404361"
AA005,"-25,404196","-49,219805",20/10/2015 08:33:40,812,"-25.404196"
AA005,"-25,403888","-49,219538",20/10/2015 08:33:37,812,"-25.403888"
AA005,"-25,403521","-49,219373",20/10/2015 08:33:34,812,"-25.403521"
AA005,"-25,403145","-49,219351",20/10/2015 08:33:31,812,"-25.403145"
AA005,"-25,40257","-49,219596",20/10/2015 08:33:26,812,"-25.40257"
AA005,"-25,40224","-49,219801",20/10/2015 08:33:23,812,"-25.40224"
AA005,"-25,401328","-49,219811",20/10/2015 08:33:16,812,"-25.401328"
AA005,"-25,400936","-49,21975",20/10/2015 08:33:13,812,"-25.400936"
AA005,"-25,400576","-49,219823",20/10/2015 08:33:10,812,"-25.400576"
AA005,"-25,400281","-49,220023",20/10/2015 08:33:07,812,"-25.400281"
AA005,"-25,400063","-49,220308",20/10/2015 08:33:04,812,"-25.400063"
AA005,"-25,3999","-49,220611",20/10/2015 08:33:01,812,"-25.3999"
AA005,"-25,399653","-49,220806",20/10/2015 08:32:58,812,"-25.399653"
AA005,"-25,399363","-49,220886",20/10/2015 08:32:55,812,"-25.399363"
AA005,"-25,39865","-49,221896",20/10/2015 08:32:38,812,"-25.39865"
AA005,"-25,397716","-49,223746",20/10/2015 08:32:16,812,"-25.397716"
AA005,"-25,397555","-49,224045",20/10/2015 08:32:13,812,"-25.397555"
