"VEIC"	"LAT"	"LON"	"DTHR"	"COD_LINHA"	"Distancia"	"timestamp"	"Duracao"
"1"	"AA006"	-25.415771	-49.281105	"20/10/2015 23:55:20"	812	0	2015-10-20 23:55:20	0
"2"	"AA006"	-25.415781	-49.2811	"20/10/2015 23:45:19"	812	1.11803398846925e-05	2015-10-20 23:45:19	10.0166666666667
"3"	"AA006"	-25.415763	-49.281108	"20/10/2015 23:35:18"	812	3.08780554894147e-05	2015-10-20 23:35:18	20.0333333333333
"4"	"AA006"	-25.415765	-49.281116	"20/10/2015 23:25:17"	812	3.91242667353402e-05	2015-10-20 23:25:17	30.05
"5"	"AA006"	-25.415788	-49.28109	"20/10/2015 23:15:16"	812	7.3837376648678e-05	2015-10-20 23:15:16	40.0666666666667
"6"	"AA006"	-25.415808	-49.281075	"20/10/2015 23:05:15"	812	9.88373766466658e-05	2015-10-20 23:05:15	50.0833333333333
"7"	"AA006"	-25.41579	-49.281085	"20/10/2015 22:55:14"	812	0.000119428636924272	2015-10-20 22:55:14	60.1
"8"	"AA006"	-25.415791	-49.281093	"20/10/2015 22:45:13"	812	0.000127490894673366	2015-10-20 22:45:13	70.1166666666667
"9"	"AA006"	-25.415795	-49.281081	"20/10/2015 22:35:12"	812	0.000140140005312438	2015-10-20 22:35:12	80.1333333333333
"10"	"AA006"	-25.41579	-49.281068	"20/10/2015 22:25:11"	812	0.000154068393591441	2015-10-20 22:25:11	90.15
"11"	"AA006"	-25.415791	-49.28108	"20/10/2015 22:15:10"	812	0.000166109988175236	2015-10-20 22:15:10	100.166666666667
"12"	"AA006"	-25.415803	-49.281071	"20/10/2015 22:05:09"	812	0.000181109988179997	2015-10-20 22:05:09	110.183333333333
"13"	"AA006"	-25.415805	-49.281053	"20/10/2015 22:00:01"	812	0.000199220758453311	2015-10-20 22:00:01	115.316666666667
"14"	"AA006"	-25.415801	-49.281036	"20/10/2015 21:52:52"	812	0.000216685007649731	2015-10-20 21:52:52	122.466666666667
"15"	"AA006"	-25.4158	-49.281038	"20/10/2015 21:42:51"	812	0.000218921075627941	2015-10-20 21:42:51	132.483333333333
