Column,Cidade,UF,Salario.Bruto,Horas.Diarias,Tempo.de.Empresa,Experiencia.Profissional,Iniciativa.Privada.ou.Concursado,Cargo,Formacao,Pos.Graduacao.ou.Certificacao,Regiao
1,Campina Grande,PB,42120,6,5,7,Iniciativa Privada,Suporte,Bacharel em Ciência da Computação,TRUE,Nordeste
2,Brasilia,DF,15000,8,12,12,Concursado,Consultor,Bacharel em Sistemas de informação,TRUE,Centro-oeste
3,Recife,PE,13787,7,1,5,Concursado,Consultor,Bacharel em Ciência da Computação,FALSE,Nordeste
4,Brasilia,DF,12960,7,0.5,10,Concursado,Desenvolvedor Java,Engenharia da Computação,TRUE,Centro-oeste
5,Belo Horizonte,MG,9500,8,3,2,Concursado,Outros Analistas,Nao informou,FALSE,Sudeste
6,Campinas,SP,8500,8,1,7,Iniciativa Privada,Arquiteto de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
7,Brasilia,DF,8000,8,0.83,15,Nao informou,Programador,Nao informou,TRUE,Centro-oeste
8,Rio de Janeiro,RJ,7680,8,7,7,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
9,Belo Horizonte,MG,7550,8,5,15,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,TRUE,Sudeste
10,São Paulo,SP,7500,8,2,6,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Sudeste
11,Belo Horizonte,MG,7200,8,3,8,Iniciativa Privada,Arquiteto de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
12,Belo Horizonte,MG,7200,8,4,12,Iniciativa Privada,Arquiteto de Sistemas,Bacharel em Sistemas de informação,TRUE,Sudeste
13,Brasilia,DF,7000,7,0.16,7,Iniciativa Privada,Consultor,Analise de Sistemas,TRUE,Centro-oeste
14,Belo Horizonte,MG,6800,8.8,9,9,Iniciativa Privada,outros,Bacharel em Ciência da Computação,TRUE,Sudeste
15,Guaratingueta,SP,6700,7,4,4,Concursado,Nao informou,Bacharel em Ciência da Computação,FALSE,Sudeste
16,Rio de Janeiro,RJ,6500,8,0.25,4,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
17,Rio de Janeiro,RJ,6500,8,1,12,Iniciativa Privada,Analista de Sistemas,Bacharel em Informática,TRUE,Sudeste
18,Brasilia,DF,6300,8,0.25,8,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Centro-oeste
19,Brasilia,DF,6300,8,4,11,Iniciativa Privada,Arquiteto de Sistemas,Bacharel em Ciência da Computação,TRUE,Centro-oeste
20,Fortaleza,CE,6300,8,0.25,4,Nao informou,Consultor,Nao informou,FALSE,Nordeste
21,Rio de Janeiro,RJ,6300,8,1,7,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,FALSE,Sudeste
22,Ribeirão Preto,SP,6200,8,2,10,Iniciativa Privada,Banco de Dados,Nao informou,TRUE,Sudeste
23,Rio de Janeiro,RJ,6200,8,0.25,0,Concursado,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Sudeste
24,Vitória,ES,6100,8,5,12,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,FALSE,Sudeste
25,Belo Horizonte,MG,6000,8,3,5,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,TRUE,Sudeste
26,Belo Horizonte,MG,6000,9,2,4,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
27,Campinas,SP,6000,8,4,0.16,Iniciativa Privada,Analista de Sistemas,Nao informou,TRUE,Sudeste
28,Fortaleza,CE,6000,8,4,8,Concursado,Consultor,Bacharel em Ciência da Computação,TRUE,Nordeste
29,João Pessoa,PB,5800,7,3.5,5,Concursado,Desenvolvedor,Bacharel em Ciência da Computação,TRUE,Nordeste
30,Rio de Janeiro,RJ,5800,8,2,4,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Sudeste
31,Campinas,SP,5700,8,1,5,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
32,Rio de Janeiro,RJ,5700,8,2.83,5,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
33,Rio de Janeiro,RJ,5600,8,1,5,Iniciativa Privada,Analista de Sistemas,Bacharel em Informática,TRUE,Sudeste
34,Belo Horizonte,MG,5500,8,0.5,10,Nao informou,Arquiteto de Sistemas,Nao informou,FALSE,Sudeste
35,Brasilia,DF,5500,8,1,6,Concursado,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Centro-oeste
36,Campinas,SP,5500,8,3,5,Iniciativa Privada,Analista de Sistemas,Bacharel em Informática,FALSE,Sudeste
37,São Paulo,SP,5500,8,2,2,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,TRUE,Sudeste
38,Porto Alegre,RS,5495,7,4,14,Concursado,Programador,Bacharel em Ciência da Computação,TRUE,Sul
39,Belo Horizonte,MG,5400,8,1,4,Iniciativa Privada,Desenvolvedor Java,Bacharel em Sistemas de informação,TRUE,Sudeste
40,Fortaleza,CE,5400,8,2,9,Concursado,Analista de Sistemas,Nao informou,TRUE,Nordeste
41,São Paulo,SP,5360,9,4,4,Iniciativa Privada,Nao informou,Bacharel em Ciência da Computação,TRUE,Sudeste
42,Rio de Janeiro,RJ,5250,8,1,4,Iniciativa Privada,Outros Analistas,Analise de Sistemas,FALSE,Sudeste
43,Brasilia,DF,5200,7,4,11,Nao informou,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Centro-oeste
44,Interior MG,MG,5200,8,9,15,Iniciativa Privada,Redes,Nao informou,FALSE,Sudeste
45,Rio de Janeiro,RJ,5125,8,2.5,2.5,Iniciativa Privada,outros,Engenharia da Computação,FALSE,Sudeste
46,Belo Horizonte,MG,5000,9,1,1,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Sudeste
47,Brasilia,DF,5000,8,0.66,6,Concursado,Consultor,Analise de Sistemas,TRUE,Centro-oeste
48,Brasilia,DF,5000,7,4,8,Iniciativa Privada,Desenvolvedor Web,Nao informou,FALSE,Centro-oeste
49,Campinas,SP,5000,8,1,10,Iniciativa Privada,outros,Nao informou,TRUE,Sudeste
50,Fortaleza,CE,5000,4,0.25,12,Iniciativa Privada,Consultor,Nao informou,FALSE,Nordeste
51,São Paulo,SP,5000,8,2.5,3,Iniciativa Privada,Analista de Sistemas,Nao informou,FALSE,Sudeste
52,Viçosa,MG,4900,9,6,6,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,TRUE,Sudeste
53,Fortaleza,CE,4800,8,1,10,Iniciativa Privada,Programador,Analise de Sistemas,FALSE,Nordeste
54,Goiânia,GO,4769,8,2,4,Concursado,Outros Analistas,Engenharia da Computação,TRUE,Centro-oeste
