"ID","COD_EVASAO"
19537,"0"
19538,"0"
19539,"0"
19540,"0"
19541,"0"
19542,"1"
19543,"1"
19544,"1"
19545,"0"
19546,"0"
19547,"0"
19548,"0"
19549,"1"
19550,"1"
19551,"0"
19552,"0"
19553,"0"
19554,"0"
19555,"0"
19556,"0"
19557,"0"
19558,"0"
19559,"0"
19560,"1"
19561,"1"
19562,"0"
19563,"0"
19564,"1"
19565,"0"
19566,"0"
19567,"1"
19568,"0"
19569,"1"
19570,"0"
19571,"0"
19572,"1"
19573,"0"
19574,"0"
19575,"0"
19576,"0"
19577,"0"
19578,"1"
19579,"0"
19580,"0"
19581,"1"
19582,"0"
19583,"0"
19584,"0"
19585,"0"
19586,"1"
19587,"1"
19588,"0"
19589,"0"
19590,"0"
19591,"0"
19592,"1"
19593,"0"
19594,"1"
19595,"0"
19596,"0"
19597,"1"
19598,"0"
19599,"0"
19600,"0"
19601,"0"
19602,"0"
19603,"1"
19604,"0"
19605,"1"
19606,"1"
19607,"0"
19608,"1"
19609,"0"
19610,"0"
19611,"0"
19612,"1"
19613,"0"
19614,"0"
19615,"1"
19616,"1"
19617,"0"
19618,"1"
19619,"0"
19620,"1"
19621,"0"
19622,"0"
19623,"0"
19624,"0"
19625,"0"
19626,"0"
19627,"1"
19628,"0"
19629,"1"
19630,"0"
19631,"0"
19632,"1"
19633,"0"
19634,"0"
19635,"0"
19636,"0"
19637,"1"
19638,"0"
19639,"0"
19640,"0"
19641,"1"
19642,"0"
19643,"1"
19644,"0"
19645,"0"
19646,"0"
19647,"1"
19648,"1"
19649,"0"
19650,"0"
19651,"0"
19652,"0"
19653,"1"
19654,"0"
19655,"0"
19656,"0"
19657,"0"
19658,"1"
19659,"0"
19660,"0"
19661,"0"
19662,"0"
19663,"1"
19664,"1"
19665,"0"
19666,"0"
19667,"1"
19668,"1"
19669,"0"
19670,"0"
19671,"0"
19672,"0"
19673,"0"
19674,"1"
19675,"0"
19676,"0"
19677,"0"
19678,"0"
19679,"1"
19680,"0"
19681,"0"
19682,"1"
19683,"1"
19684,"0"
19685,"0"
19686,"0"
19687,"0"
19688,"1"
19689,"0"
19690,"0"
19691,"0"
19692,"0"
19693,"0"
19694,"1"
19695,"0"
19696,"0"
19697,"1"
19698,"0"
19699,"1"
19700,"0"
19701,"0"
19702,"0"
