ID,MATRICULA,COD_CURSO,CURSO,PERIODO,CODIGO,DISCIPLINA,CREDITOS,DEPARTAMENTO,MEDIA,SITUACAO,PERIODO_INGRESSO,PERIODO_RELATIVO,COD_EVASAO
1,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404138,CIRCUITOS ELETRICOS II,4,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,5,0
2,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,8.3,Aprovado,2002.1,1,0
3,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404143,ONDAS E LINHAS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,7.6,Aprovado,2002.1,5,0
4,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,9.5,Aprovado,2002.1,1,0
5,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,9.8,Aprovado,2002.1,1,0
6,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,8.2,Aprovado,2002.1,1,0
7,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1106058,INTRODUCAO A CIENCIA DOS MATERIAIS,4,UNID. ACAD. DE ENGENHARIA DE MATERIAIS,7.9,Aprovado,2002.1,5,0
8,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404140,LAB. CIRCUITOS ELETRICOS II,1,UNID. ACAD. DE ENGENHARIA ELETRICA,2.7,Reprovado,2002.1,5,0
9,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1114109,PROCESSOS ESTOCASTICOS,4,UNID. ACAD. DE ESTATISTICA,NA,Trancado,2002.1,5,0
10,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404144,DISPOSITIVOS ELETRONICOS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,6.8,Aprovado,2002.1,5,0
11,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,7.9,Aprovado,2002.1,1,0
12,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404160,ANALISE DE SINAIS E SISTEMAS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,7.1,Aprovado,2002.1,5,0
